Dataset,gamma1,Model,ModelClass,Transform,TransformClass,RMSE_train,RMSE_test,MAE_test,MAPE_test,R2_test,delta_RMSE_train_pct,delta_RMSE_test_pct,CV_RMSE_mean,CV_RMSE_std,DM_stat,DM_p,paired_t_stat,paired_t_p,cohens_d,min_n_80power,is_underpowered
Ames_Housing,1.9310266972809633,Lasso,линейные,√y,степенное (фикс. λ=0.5),34987.571435739235,36378.028257916565,21486.802109629436,10.57660644451968,0.8322166748451311,-1.7120446421839457,-8.81471478020189,44009.864592540995,17741.416780808624,2.384761166237487,0.01709021251693077,0.5165168854405359,0.632736483609224,0.1589840777491658,310.52774586585906,1.0
Ames_Housing,1.9310266972809633,Lasso,линейные,asinh(y),гиперболическое,39136.39386154852,31772.367063353435,19665.110498488357,9.777499619006665,0.8720118894783915,9.942930443023279,-20.359280271065234,61415.973299523,48953.23984197848,1.9435341160037707,0.051951657472719015,0.9657623530292058,0.3888527833006977,0.12956894106691805,467.5260946964347,1.0
Ames_Housing,1.9310266972809633,Lasso,линейные,Box-Cox,степенное параметрическое (λ по MLE),57883.70233560388,30019.099418459453,18376.327022692327,9.410170125754695,0.8857474759013856,62.60833540722547,-24.75402671341839,125657.10594558681,166113.46170439955,1.7945475271173574,0.0727258198405174,1.0610935287320529,0.3484662655563068,0.11963650180782384,548.3783029046579,1.0
Ames_Housing,1.9310266972809633,Lasso,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",57884.872333121755,30019.250257214506,18376.395268797347,9.410195527353173,0.8857463277155887,62.61162219333514,-24.75364862049911,125662.39662168032,166123.34635044762,1.7945335854584397,0.072728042939467,1.061094096535929,0.34846603648008156,0.11963557236389596,548.3868235955127,1.0
Ames_Housing,1.9310266972809633,Lasso,линейные,Quantile,ранговое непараметрическое,37134.08698958422,30513.02057879089,19744.319667146734,9.794644986276744,0.8819568231516166,4.318000207275493,-23.515962309223685,38825.42666563952,9632.831235402886,1.7490822302773918,0.08027680637053725,-1.1048339418546935,0.3312159377760875,0.1166054820184928,577.2577037560571,1.0
Ames_Housing,1.9310266972809633,Random Forest,древесные,Без преобр.,—,22064.941571417738,36159.41783519253,20999.222846951867,10.264607303951692,0.8342271726810614,0.0,0.0,32669.195767125533,4163.956863362626,,,,,,,
Ames_Housing,1.9310266972809633,XGBoost,древесные,Без преобр.,—,466.4338648739812,30719.692517405456,18558.94298611111,9.055721156485617,0.8803523387442281,0.0,0.0,30415.195931899107,5295.430269350465,,,,,,,
Ames_Housing,1.9310266972809633,MLP,нейросетевые,Без преобр.,—,74300.77296550502,71350.34123569155,56039.684818983274,31.587006855504974,0.35455001642813955,0.0,0.0,82997.50852248014,14350.289741424262,,,,,,,
Ames_Housing,1.9310266972809633,Gamma GLM,glm,Без преобр.,—,56226.9121688243,28266.162788411137,18280.91495962942,9.196716742662426,0.8987012242557371,0.0,0.0,64325.40932264957,58777.56972002209,,,,,,,
Ames_Housing,1.9310266972809633,Tweedie GLM,glm,Без преобр.,—,38491.90726191914,30581.132065971742,19436.961098270964,9.808629391497632,0.8814292405152185,0.0,0.0,59622.39398275353,45684.050257731826,,,,,,,
Ames_Housing,1.9310266972809633,XGB-Gamma,древесные-glm-loss,Без преобр.,—,524.031345833686,30338.96165660654,18125.315451388888,8.876510686948308,0.8832997164448869,0.0,0.0,32269.344084631193,7867.345246977996,,,,,,,
Ames_Housing,1.9310266972809633,XGB-Tweedie,древесные-glm-loss,Без преобр.,—,312.5326057736902,32291.184947797185,18680.143680555557,9.097620357432948,0.8677978709764067,0.0,0.0,33473.51664692203,8094.409068550506,,,,,,,
Synth_C,2.7599642952151546,МНК,линейные,Без преобр.,—,8.671420564670163,7.987951719869705,5.601564224330314,106.38045817327789,0.011390721456162711,0.0,0.0,8.688942775837438,0.6390117684427066,,,,,,,
Synth_C,2.7599642952151546,МНК,линейные,ln(y),степенное (фикс. λ→0),8.672614921405678,8.013041540735973,5.625505354724946,106.54025335964954,0.005170607768850477,0.013773484132252344,0.31409580010176896,8.692722209880248,0.6417608458498131,-1.7021567971121885,0.08872597910716862,0.8350389669715982,0.45066814824004675,-0.09827406850156734,812.6991444434552,1.0
Synth_C,2.7599642952151546,МНК,линейные,√y,степенное (фикс. λ=0.5),8.670645922756497,7.991685750700517,5.604593776148876,106.5135785923344,0.010466239069446548,-0.008933275786683393,0.046745786175998054,8.68397837092407,0.6351376131201877,-0.7440251729487417,0.4568612461090358,-1.3136592976806263,0.25923977193011377,-0.042956313388581385,4253.570842957254,1.0
Synth_C,2.7599642952151546,МНК,линейные,asinh(y),гиперболическое,8.671871241063508,8.0096766212023,5.621403231117735,106.5212129196237,0.006005950497260049,0.005197261394307192,0.27197086430247674,8.69095792564313,0.6425513473929549,-1.6696755453880974,0.09498357464965768,0.5099468405597628,0.636937816434559,-0.09639876255891533,844.6266036788179,1.0
Synth_C,2.7599642952151546,МНК,линейные,Box-Cox,степенное параметрическое (λ по MLE),8.671658485395763,8.008729337049333,5.620137412881828,106.47127108467684,0.006241050907862977,0.002743734130140938,0.2601119524539018,8.690433686716693,0.6409578597221575,-1.6855359020635143,0.09188522410776212,0.38226895003373806,0.7217043410394451,-0.09731446067851486,828.8060533676752,1.0
Synth_C,2.7599642952151546,МНК,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",8.672298209192043,8.011704746126126,5.624716266881972,106.61826318016116,0.0055025096146325,0.010121115857949519,0.2973606637773797,8.692007094602278,0.6434082523567662,-1.6792485342970198,0.0931036166217527,0.7193805371012489,0.5116942554019923,-0.09695145933126689,835.0240297674696,1.0
Synth_C,2.7599642952151546,МНК,линейные,Quantile,ранговое непараметрическое,9.005984026081343,8.312477712201128,5.263010412349953,77.25799114251404,-0.07056935449387636,3.8582312888188977,4.062693462758138,9.00413697514712,0.6887117788446554,-2.2772719175749607,0.022769992825093066,4.827259793187106,0.00847814412589136,-0.13147835546298786,454.04526191198977,1.0
Synth_C,2.7599642952151546,Ridge,линейные,Без преобр.,—,8.672722339417211,7.985059210634907,5.600685966950378,106.65292589042122,0.012106560467609606,0.0,0.0,8.689081659201456,0.6261146313490348,,,,,,,
Synth_C,2.7599642952151546,Ridge,линейные,ln(y),степенное (фикс. λ→0),8.670754617534037,8.005456366841727,5.617044552146235,106.48565763026534,0.007053134493139046,-0.022688630007569283,0.25544151481874994,8.68727519076917,0.6363647870948413,-1.3255176283695063,0.1849995265056692,-0.259794520069603,0.8078461759788093,-0.07652879595547288,1340.1638949462883,1.0
Synth_C,2.7599642952151546,Ridge,линейные,√y,степенное (фикс. λ=0.5),8.672176243771794,7.989084929845261,5.601739404073153,106.62106894640364,0.011110203645985028,-0.006296703895786796,0.05041564632347656,8.684278160038863,0.6280854064670954,-1.1684593139881159,0.24262154153296844,-3.0008518555137953,0.039908432525164905,-0.06746102994681642,1724.6530460365373,1.0
Synth_C,2.7599642952151546,Ridge,линейные,asinh(y),гиперболическое,8.670390129569393,8.002752466899018,5.614051422958681,106.48267184116132,0.007723770978977917,-0.026891323814420116,0.2215795249275798,8.686632676312659,0.6373527898027668,-1.279229468551847,0.2008162615132414,-0.35064180408451595,0.7435443146250793,-0.07385634780237109,1438.9046585102606,1.0
Synth_C,2.7599642952151546,Ridge,линейные,Box-Cox,степенное параметрическое (λ по MLE),8.67041517075402,8.002206637359278,5.613198251127722,106.44744094412823,0.007859123211645502,-0.026602588816961405,0.21474388945710346,8.685998667282206,0.635388836956787,-1.305210747422123,0.19182109555359816,-0.5012866933806742,0.6425009727551344,-0.07535637763733553,1382.1896827197625,1.0
Synth_C,2.7599642952151546,Ridge,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",8.670499203120334,8.004198658878828,5.616553546276809,106.55714897057238,0.007365106483777084,-0.025633661610180755,0.23969074917352312,8.687179867074471,0.6382319798243894,-1.2876044207185042,0.19788369970581998,-0.25635764989563803,0.8103195774999908,-0.07433987589115805,1420.2474270118305,1.0
Synth_C,2.7599642952151546,Ridge,линейные,Quantile,ранговое непараметрическое,9.011912957331724,8.314848005774882,5.263256915256146,77.27713393154562,-0.07117998481152243,3.911005156626583,4.1300732585770366,9.00979450234178,0.6826663811413265,-2.3261467751107396,0.02001072194229825,4.581058188156674,0.01017531245073452,-0.13430014667847653,435.16574398621316,1.0
Synth_C,2.7599642952151546,Lasso,линейные,Без преобр.,—,8.67144864933616,7.987834619290638,5.60180120009344,106.41451367515951,0.011419706576378474,0.0,0.0,8.70152487212452,0.6218524014916655,,,,,,,
Synth_C,2.7599642952151546,Lasso,линейные,ln(y),степенное (фикс. λ→0),8.672256948827584,8.012098945203409,5.624682662915014,106.52842041308608,0.0054046428933793855,0.009321389356166805,0.3037660025430754,8.698743133948604,0.6321405218942349,-1.6743754456667312,0.09405683540051646,-0.4174741137093434,0.6977661461223656,-0.09667011142801869,839.8915969798647,1.0
Synth_C,2.7599642952151546,Lasso,линейные,√y,степенное (фикс. λ=0.5),8.670822217660943,7.991636332755368,5.604441190581629,106.5260933795497,0.010478476931508052,-0.007224071784878494,0.04759379288535821,8.69408740515919,0.6211499075933034,-0.7834751228098311,0.43334815678423766,-2.5110868700071753,0.06598080485404091,-0.0452339573057631,3835.9991919945205,1.0
